code,desc
ILS,שקלים
USD,דולרים
ARP,פסו ארגנטינה
AUD,דולר אוסטרלי
BDT,טקה בנגלדש
BGN,לב בולגרי
BHD,דינר בחריין
BIF,פרנק בורונדי
BMD,דולר בורמזי
BND,דולר ברונאיי
BOB,בוליביאנו בוליביה
BRR,ריאל ברזיל
BWP,פולה בוטסואנה
CAD,דולר קנדי
CHF,פרנק שוויצרי
CLP,פזטה צ'ילה
CNY,יואן סין
COP,פזטה קולומביה
CRC,קולון קוסטה ריקה
CUP,פזטה קובה
CYP,לירה קפריסין
CZK,כתר צ'כי
DKK,כתר דני
DOP,פזטה דומיניקאנית
DZD,דינר אלג'יר
ECS,סוקרה אקואדור
EEK,כתר אסטוניה
EGP,לירה מצרית
ETB,ביר אתיופיה
EUR,יורו
GBP,לירה שטרלינג
GHC,צ'די גאנה
GIP,לירה גיברלטר
GMD,דאלאסי גאמביה
GNF,פרנק גינאה
GTQ,קצל גוואטמלה
HKD,דולר הונג קונג
HNL,למפירה הונדורס
HRK,קונה קרואטית
HTG,גורד האיטי
HUF,פורינט הונגרי
IDR,רופיה אינדונזיה
INR,רופיה הודית
IQD,דינר עיראקי
IRR,ריאל אירני
ISK,כתר איסלנדי
JMD,דולר ג'מייקה
JOD,דינר ירדני
JPY,ין יפני
KES,שילינג קניה
KHR,ריאל קמבודיה
KPW,וון צפון קוריאה
KRW,וון דרום קוריאה
KZT,טנגה קזחסטאן
LAK,קיפ לאוס
LBP,לירה לבנונית
LKR,רופיה סרי-לנקה
LRD,דולר ליבריה
LSL,לוטי לסוטו
LTL,ליטאס ליטואניה
LVL,לאטס לאטביה
LYD,דינר לוב
MAD,דירהם מרוקאי
MGF,פרנק מלגזי
MNT,טוגריק מונגוליה
MRO,אוגויה מאוריטניה
MTL,לירה מלטה
MVR,רופיה מולדביה
MWK,קוואצ'ה מאלווי
MXP,פזטה מקסיקו
MYR,רינגיט מאלזיה
MZM,מטיקאל מוזמביק
NAD,דולר נמיביה
NGN,נאירה ניגריה
NIO,קורדובה ניקרגואה
NOK,כתר נורווגי
NPR,רופיה נפאל
NZD,דולר ניו-זילנד
OMR,ריאל עומאן
PAB,בלבואה פנמה
PEN,נואבו פרו
PGK,קינה גינאה
PHP,פזטה פיליפינים
PKR,רופיה פקיסטאן
PLN,זלוטי פולני
PYG,גוארני פרגוואי
QAR,ריאל קטאר
ROL,לאו רומני
RUB,רובל רוסי
SAL,סל מטבעות
SAR,ריאל סעודי
SEK,כתר שוודי
SGD,דולר סינגפורי
SIT,טולאר סלובניה
SKK,כתר סלובקיה
SLL,לאון סיירה לאון
SOS,שילינג סומאליה
SRG,פלורין סורינאם
SVC,קולון אל סלבדור
SYP,לירה סורית
SZL,לילאנגני סוואזילנד
THB,באהט תאילנד
TND,דינר טוניס
TRL,לירה טורקית
TTD,דולר טרינידד
TWD,דולר טאיוואני
TZS,שילינג טנזניה
UAK,קארבובאנטס אוקראינה
UGS,שילינג אוגנדה
UYP,פזטה אורוגוואי
VEB,בוליבר ונצואלה
VND,דונג ויאטנמי
YUD,דינר יוגוסלביה
ZAR,רנד דרום אפריקני
ZMK,קוואצ'ה זמביה
ZWD,דולר זימבאבווה
מד,מדד המחירים
ALL,לק אלבניה
